x,y1,y2,y3,y4
-20.0,-1.2903583,0.971772,-8020.184,-57.7987
-19.9,-0.8564804,0.76077926,-7900.3633,-57.2483
-19.8,-0.4765003,1.07247,-7782.323,-57.19814
-19.7,-1.2403052,0.40099582,-7665.479,-57.04108
-19.6,-0.8642194,0.62418693,-7549.549,-57.004307
-19.5,-1.1022538,0.15268417,-7434.4277,-56.371777
-19.4,-0.7950725,0.21214648,-7321.0703,-56.288574
-19.3,-0.8160125,0.07831059,-7207.945,-56.30576
-19.2,-0.13293092,0.6258492,-7097.2393,-55.79835
-19.1,0.02609189,0.3049246,-6986.543,-54.996403
-19.0,-0.35890642,0.06058867,-6878.1987,-54.869537
-18.9,-0.45488378,-0.34399948,-6770.6074,-54.579666
-18.8,-0.1624377,-0.23325308,-6663.322,-54.04645
-18.7,-0.345942,0.30337608,-6557.9165,-54.42099
-18.6,-0.024507653,-0.062444452,-6453.825,-53.352585
-18.5,-0.11469839,-0.16460432,-6350.0107,-53.30854
-18.4,0.2231223,-0.17676996,-6247.512,-53.113537
-18.3,0.98180115,-0.33881077,-6146.802,-52.44318
-18.2,0.11765509,-1.0923892,-6046.678,-52.915833
-18.1,0.7648502,-0.23415454,-5947.551,-52.484493
-18.0,1.0307101,-0.99440044,-5849.5522,-51.8632
-17.9,0.8759713,-0.705925,-5752.9946,-52.06236
-17.8,0.883254,-0.73939663,-5657.5747,-51.38887
-17.7,0.5954179,-1.331388,-5562.539,-51.5071
-17.6,0.82048684,-0.58564013,-5469.3877,-50.872845
-17.5,0.9369374,-1.3178524,-5377.366,-50.007027
-17.4,0.57991594,-1.0723238,-5285.712,-50.60469
-17.3,1.1767578,-0.59677315,-5194.585,-49.635265
-17.2,0.6416252,-0.5492882,-5105.8833,-49.339485
-17.1,0.807894,-1.1647704,-5017.1855,-49.423264
-17.0,0.8427723,-0.8322243,-4929.583,-48.940052
-16.9,0.9767596,-1.1374786,-4843.585,-48.59964
-16.8,1.3635728,-1.1580392,-4758.032,-47.997616
-16.7,0.9476578,-1.3114812,-4674.568,-47.65822
-16.6,1.0651792,-0.3759541,-4591.352,-47.368416
-16.5,0.98593557,-0.91899914,-4508.635,-47.340042
-16.4,0.40532255,-0.20288035,-4427.2246,-47.04264
-16.3,0.51203233,-0.7519543,-4347.4478,-46.872044
-16.2,0.6841457,-0.5503717,-4267.737,-46.646732
-16.1,0.56465423,-0.79819787,-4189.3203,-46.784824
-16.0,0.23211649,-0.15894726,-4111.8726,-45.56609
-15.9,0.3381126,-0.62479186,-4035.642,-45.716988
-15.8,0.27284563,-0.25467953,-3959.8662,-45.280083
-15.7,0.48552814,-0.31565085,-3885.3389,-44.735176
-15.6,-0.038357083,-0.22927003,-3811.8823,-45.055286
-15.5,-0.51680213,0.58892584,-3739.06,-44.73482
-15.4,-0.75630933,0.19526805,-3667.5374,-43.721024
-15.3,-0.5262646,0.47265092,-3596.5698,-44.303085
-15.2,-0.5718237,0.9645929,-3526.7417,-43.975967
-15.1,-0.10957215,0.31651223,-3457.756,-43.333744
-15.0,-0.47327,1.0822585,-3390.342,-43.442574
-14.9,-1.1868628,0.88920146,-3323.1448,-42.806572
-14.8,-0.47915137,0.733662,-3256.7979,-42.40728
-14.7,-0.7291366,0.9982698,-3191.2305,-42.404285
-14.6,-1.1834346,0.875038,-3126.424,-42.23913
-14.5,-0.44574448,0.89436036,-3062.8938,-41.511314
-14.4,-1.3088164,1.1030228,-3000.2988,-41.362183
-14.3,-0.86866176,0.73530185,-2938.7188,-41.318497
-14.2,-0.78769076,0.6723489,-2877.479,-40.366585
-14.1,-0.81957173,0.89974785,-2816.9644,-39.961826
-14.0,-0.7529739,1.4243451,-2758.3457,-39.67403
-13.9,-1.4568747,1.4169478,-2699.2136,-39.429886
-13.8,-1.1840721,1.3511901,-2641.9553,-39.56927
-13.7,-0.8715222,1.3822722,-2585.5237,-38.9391
-13.6,-1.3467349,0.43700603,-2528.8894,-38.90065
-13.5,-1.07061,0.9305358,-2474.0876,-38.09283
-13.4,-1.1838623,0.6769745,-2419.2024,-38.55002
-13.3,-0.6648049,1.0113131,-2365.7031,-37.46515
-13.2,-0.67919695,0.7661067,-2313.2676,-37.165745
-13.1,-0.087428994,0.08389026,-2261.5513,-37.588512
-13.0,-0.41362444,0.3344442,-2209.5972,-37.05954
-12.9,-0.25377724,0.48855576,-2159.2144,-36.26214
-12.8,-0.6109164,0.08752357,-2109.899,-36.66574
-12.7,0.059267025,0.27502874,-2061.5088,-35.881542
-12.6,0.07527618,-0.026193,-2012.9471,-35.56225
-12.5,-0.11857355,-0.05329506,-1965.474,-35.99816
-12.4,0.4150502,-0.40705022,-1918.6984,-35.065212
-12.3,0.47766083,-0.7143377,-1873.6383,-34.689415
-12.2,0.84946,-0.56356037,-1828.379,-34.618416
-12.1,0.3836817,-0.5613224,-1783.7556,-33.806427
-12.0,0.90127826,-0.28569478,-1739.6969,-34.21501
-11.9,0.64955837,-0.84797436,-1696.946,-33.37997
-11.8,0.9841047,-0.732996,-1654.7043,-33.057266
-11.7,0.84190184,-0.88124514,-1613.5372,-33.215412
-11.6,1.12121,-0.53820795,-1572.5153,-32.86012
-11.5,0.77576625,-0.7726074,-1532.5654,-32.01293
-11.4,1.3279829,-0.8275483,-1493.3665,-31.74043
-11.3,0.9024689,-0.60970354,-1454.5278,-32.100544
-11.2,1.1833346,-0.8026474,-1415.9155,-31.387669
-11.1,0.71642756,-0.9606529,-1378.6636,-31.209461
-11.0,0.64380044,-0.7624363,-1342.075,-30.819347
-10.9,1.3795996,-1.280171,-1306.2267,-30.503626
-10.8,0.7077489,-1.1529406,-1270.4222,-30.116638
-10.7,1.0985042,-0.94853806,-1235.8792,-29.679522
-10.6,0.6559131,-1.2429407,-1201.2968,-30.169186
-10.5,0.95353305,-0.6613335,-1167.7228,-29.152628
-10.4,0.90851206,-0.93499595,-1135.233,-29.174692
-10.3,0.628167,-0.68895215,-1102.686,-28.852041
-10.2,0.60835296,-0.2903986,-1070.9681,-28.844503
-10.1,0.82787746,-0.28288075,-1040.2893,-27.985128
-10.0,0.9212466,-0.84748703,-1010.4572,-27.72681
-9.9,0.2739269,-0.58366686,-979.88275,-28.007828
-9.8,-0.025663715,-0.018853936,-951.39716,-27.254347
-9.7,0.07210666,0.028194148,-922.8348,-27.153275
-9.6,-0.010036105,-0.066395335,-894.6207,-27.028986
-9.5,0.35187727,0.3692216,-866.47327,-26.737495
-9.4,0.4471614,0.4795628,-839.86444,-26.518486
-9.3,-0.6138969,0.26023236,-813.79614,-26.050848
-9.2,-0.70835143,-0.16524822,-787.48474,-26.00959
-9.1,-0.4691965,0.017053943,-762.89417,-25.129995
-9.0,-0.37267578,-0.07179533,-737.5202,-24.827074
-8.9,-0.6412057,0.2929954,-713.55115,-24.806122
-8.8,-0.55576,1.0777973,-690.12976,-23.913929
-8.7,-0.98067963,0.40525073,-666.91724,-23.918713
-8.6,-0.49848434,0.5310977,-644.72656,-23.895376
-8.5,-0.837543,1.1453533,-622.15765,-23.950985
-8.4,-0.4885147,0.52965856,-600.61835,-23.106464
-8.3,-1.1727359,1.3081293,-580.0139,-22.673826
-8.2,-0.4771471,0.8130948,-559.64386,-22.221102
-8.1,-0.51702195,0.67423356,-539.60596,-21.890223
-8.0,-0.89116055,0.6831624,-520.472,-22.315924
-7.9,-1.1376612,1.2960474,-500.96463,-21.871845
-7.8,-1.420641,0.5735487,-482.1148,-21.05063
-7.7,-0.782016,0.4954364,-464.676,-21.366638
-7.6,-1.1250727,1.0842409,-446.50943,-20.743752
-7.5,-0.89573693,1.2975653,-429.26984,-20.445152
-7.4,-0.92414194,1.0375563,-412.35373,-19.869055
-7.3,-1.1132838,0.5691814,-396.03677,-19.889484
-7.2,-0.9401381,0.6693772,-380.71405,-19.749914
-7.1,-0.6498222,0.92671627,-365.46545,-18.938211
-7.0,-0.89574623,0.41232777,-350.43112,-19.387236
-6.9,-0.28636265,0.6781876,-335.36935,-18.609411
-6.8,-0.45684367,0.37261042,-320.97495,-18.377163
-6.7,-0.8049491,0.19178067,-307.13528,-18.507265
-6.6,-0.66974694,0.5748275,-294.3759,-18.000834
